route_name,latitude,longitude
Centralbron,59.3255,18.0641
Klaratunneln,59.3303,18.0615
Söderledstunneln,59.3144,18.0683
E4/E20 N Gröndal (157) - Lilla Essingen,59.3228,18.0019
E4/E20 N Lilla Essingen (159) - Fredhäll (160),59.3283,18.0034
E4 S Tureberg (172) - Kista (171),59.4042,17.9461
E4 N Kista (171) - Tureberg (172),59.4042,17.9461
E4/E20 S Vårby (148)-Fittja (147),59.2619,17.8814
E4/E20 N Fittja (147) - Vårby (148),59.2619,17.8814
Norrtullstunneln (avfart Uppsalavägen till påfart E4),59.3512,18.0438
E18 O Hjulsta (156) - Tensta (157),59.3975,17.8992
E18 V Tensta (157) - Hjulsta (156),59.3975,17.8992
E4 N Upplands Väsby,59.5186,17.9150
E4 S Upplands Väsby,59.5186,17.9150
E4 N Rotebro Trafikplats,59.4754,17.9156
E4 S Rotebro Trafikplats,59.4754,17.9156
E4 S Järva krog (169) - Haga Norra (167),59.3751,18.0163
E4 N Haga Norra (167) - Järva krog (169),59.3751,18.0163
75 V Värmdöleden - avfart Hammarby sjöstad (Sicklatunneln),59.3039,18.1130
75 O Avfart Nynäsvägen - avfart Hammarby sjöstad (Hammarbytunneln),59.2981,18.0932
