make,model,year,fuel_type,range,city_mpge,hwy_mpge,co2_emissions,charge_time_240v
Tesla,Model 3 Long Range,2020,Electricity,330.0,136.0,123.0,0.0,10.0
Tesla,Model 3 Long Range AWD,2020,Electricity,322.0,124.0,116.0,0.0,10.0
Tesla,Model 3 Long Range Performance AWD (18in),2020,Electricity,322.0,124.0,116.0,0.0,10.0
Tesla,Model 3 Long Range Performance AWD (19in),2020,Electricity,304.0,119.0,112.0,0.0,10.0
Tesla,Model 3 Long Range Performance AWD (20in),2020,Electricity,299.0,118.0,107.0,0.0,10.0
Tesla,Model 3 Mid Range,2020,Electricity,264.0,128.0,117.0,0.0,10.0
Tesla,Model 3 Standard Range,2020,Electricity,220.0,138.0,124.0,0.0,8.5
Tesla,Model 3 Standard Range Plus,2020,Electricity,250.0,148.0,132.0,0.0,8.5
Tesla,Model S Long Range,2020,Electricity,373.0,115.0,107.0,0.0,12.0
Tesla,Model S Long Range Plus,2020,Electricity,402.0,121.0,112.0,0.0,15.3
Tesla,Model S Performance (19in Wheels),2020,Electricity,348.0,104.0,104.0,0.0,12.0
Tesla,Model S Performance (21in Wheels),2020,Electricity,326.0,98.0,96.0,0.0,12.0
Tesla,Model S Standard Range,2020,Electricity,287.0,113.0,105.0,0.0,9.2
Tesla,Model X Long Range,2020,Electricity,328.0,99.0,93.0,0.0,12.0
Tesla,Model X Long Range Plus,2020,Electricity,351.0,108.0,101.0,0.0,12.0
Tesla,Model X Performance (20in Wheels),2020,Electricity,305.0,90.0,89.0,0.0,12.0
Tesla,Model X Performance (22in Wheels),2020,Electricity,272.0,80.0,77.0,0.0,12.0
Tesla,Model X Standard Range,2020,Electricity,258.0,105.0,98.0,0.0,9.2
Tesla,Model Y Long Range AWD,2020,Electricity,316.0,127.0,114.0,0.0,10.0
Tesla,Model Y Performance AWD,2020,Electricity,315.0,129.0,112.0,0.0,10.0
Tesla,Model Y Performance AWD (21in Wheels),2020,Electricity,291.0,116.0,106.0,0.0,10.0
Ford,Escape FWD PHEV,2020,Regular Gas and Electricity,530.0,43.0,38.0,77.0,3.3
Ford,Fusion Energi Plug-in Hybrid,2020,Regular Gas and Electricity,610.0,43.0,40.0,99.0,2.6
Ford,Fusion Special Service PHEV,2020,Regular Gas and Electricity,610.0,43.0,40.0,101.0,2.6
BMW,i3,2020,Electricity,153.0,124.0,102.0,0.0,7.0
BMW,i3s,2020,Electricity,153.0,124.0,102.0,0.0,7.0
